what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1338026872162
error,log,,,"An unexpected error has occurred",1338026883638
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1338026883649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338026888896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338026985404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1338026994764
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338026997152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027041211
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338027046426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027055364
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338027087715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338027088909
closed,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027096127
error,log,,,"An unexpected error has occurred",1338027096254
error,log,,,"Unable to create editor ID org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor: assertion failed: ",1338027096256
opened,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027096306
opened,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027096309
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027096335
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1338027096502
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1338027096594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027096675
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338027096696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1338027096841
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338027105779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338027110133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027120972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027121160
opened,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027135744
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1338027135791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1338027141543
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027162215
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027163914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027164537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027173416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338027176293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338033315417
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338033327834
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338033336776
opened,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1338033365135
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1338033365282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338033365386
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338033365407
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1338033373493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338033387088
