what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869927985
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/org.wso2.appserver.styles",1337869927985
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928079
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/sign_encrypt_jaxws",1337869928079
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928145
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/mtom_jaxws",1337869928146
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928230
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/example",1337869928230
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928330
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/org.wso2.stratos.appserver.dashboard.ui",1337869928330
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928395
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/handlers_jaxws",1337869928395
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869928478
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/jaxrs_basic",1337869928479
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337869928737
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337869928912
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337869928912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337869938899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337869939040
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948024
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-xfer",1337869948025
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948107
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-sts-service",1337869948108
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948189
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-chad",1337869948190
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948255
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-commodityquote",1337869948256
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948341
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-json",1337869948341
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948408
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-VirtualDirectoryListing",1337869948409
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948493
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-mtom",1337869948494
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948594
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-FlickrClient",1337869948595
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948684
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-jibx",1337869948685
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948791
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-tinyurl",1337869948791
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948893
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-tomcat-webapps-generic-javabean",1337869948893
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869948990
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-helloworld",1337869948991
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949122
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-mail",1337869949123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949194
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-module",1337869949194
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949277
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-libraryEJB",1337869949277
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949344
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-mex",1337869949344
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949399
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-hello-webapp",1337869949400
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949491
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-trader",1337869949492
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949574
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wsdl_first_jaxws",1337869949574
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949659
error,log,,,"An exception occurred invoking extension: org.wso2.developerstudio.eclipse.platform.ui.nestedproject.content for object P/wso2appserver-samples-libraryEAR",1337869949660
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1337869949725
