what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337695813784
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337695827074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695849870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695866732
activated,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337695866758
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1337695871053
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695871177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695871290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695874583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695876812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337695879479
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337695881219
activated,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337695886610
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337695889742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695892545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695894340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695894637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695968449
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337695970063
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337695980223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337695984242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696119494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1337696119566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1337696119566
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337696131989
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1337696146769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696159948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696162181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696162307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696179251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696179617
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696412630
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337696414367
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1337696417658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696421448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696427318
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696427441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696440795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696440973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696556285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696561359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696564761
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1337696591927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696592012
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696592557
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337696592566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696594856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696595359
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337696598466
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1337696640195
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337696810574
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1337696819863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696888860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696890695
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337696891102
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1337696892026
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1337696892056
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1337696892097
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1337696892110
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1337696892113
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1337696892151
stopped,bundle,org.eclipse.bpel.apache.ode.runtime,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.runtime",1337696892173
stopped,bundle,org.wso2.developerstudio.eclipse.carbon.uibundle,2.0.0,"org.wso2.developerstudio.eclipse.carbon.uibundle",1337696892243
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver.remote,2.0.0,"org.wso2.developerstudio.eclipse.carbonserver.remote",1337696892243
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver30,2.0.0,"org.wso2.developerstudio.eclipse.carbonserver30",1337696892243
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver31,2.0.0,"org.wso2.developerstudio.eclipse.carbonserver31",1337696892243
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver32,2.0.0,"org.wso2.developerstudio.eclipse.carbonserver32",1337696892243
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver40,2.0.0,"org.wso2.developerstudio.eclipse.carbonserver40",1337696892243
