what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1338224870064
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1338224903464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338224906780
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338224907780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224912385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224915842
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338224916039
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338224919231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224922391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224922546
closed,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1338224928640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224928835
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1338224928931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1338224928931
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1338224928961
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338224929043
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338224931056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224936973
opened,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1338224950505
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1338224950525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224950850
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338224950857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1338224951016
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338224951068
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1338224953660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224960104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224966289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224969066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224981519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224984660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224988731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338224996853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225003968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225006573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225014216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225016670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225028464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1338225036481
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338225041802
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1338225046595
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1338225046664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225052378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225054733
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338225054916
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1338225057532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338225073223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225073697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225101397
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338225101681
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1338225103887
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225112464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225113975
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1338225114124
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338225114166
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225117506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225149997
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1338225153311
executed,command,org.wso2.developerstudio.eclipse.carbonserver.base,2.0.0,"org.wso2.developerstudio.eclipse.server",1338225155364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225156545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338225192062
activated,editor,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.editors.SoapUIEditor",1338225192256
error,log,,,"Invalid thread access",1338225195202
error,log,,,"Invalid thread access",1338225195202
error,log,,,"Invalid thread access",1338225195203
error,log,,,"Invalid thread access",1338225195204
error,log,,,"Invalid thread access",1338225195204
error,log,,,"Invalid thread access",1338225195205
error,log,,,"Invalid thread access",1338225195205
error,log,,,"Invalid thread access",1338225195205
error,log,,,"Invalid thread access",1338225195206
error,log,,,"Invalid thread access",1338225195206
error,log,,,"Invalid thread access",1338225195207
error,log,,,"Invalid thread access",1338225195207
error,log,,,"Invalid thread access",1338225195208
error,log,,,"Invalid thread access",1338225195208
error,log,,,"Invalid thread access",1338225195209
error,log,,,"Invalid thread access",1338225195210
error,log,,,"Invalid thread access",1338225195210
error,log,,,"Invalid thread access",1338225195211
error,log,,,"Invalid thread access",1338225195713
error,log,,,"Invalid thread access",1338225195714
error,log,,,"Invalid thread access",1338225195715
error,log,,,"Invalid thread access",1338225195716
error,log,,,"Invalid thread access",1338225195716
error,log,,,"Invalid thread access",1338225195717
error,log,,,"Invalid thread access",1338225195718
error,log,,,"Invalid thread access",1338225195718
error,log,,,"Invalid thread access",1338225195719
error,log,,,"Invalid thread access",1338225195719
error,log,,,"Invalid thread access",1338225195720
error,log,,,"Invalid thread access",1338225195720
error,log,,,"Invalid thread access",1338225195721
error,log,,,"Invalid thread access",1338225195721
error,log,,,"Invalid thread access",1338225195721
error,log,,,"Invalid thread access",1338225195722
error,log,,,"Invalid thread access",1338225195722
error,log,,,"Invalid thread access",1338225195723
error,log,,,"Invalid thread access",1338225196225
error,log,,,"Invalid thread access",1338225196225
error,log,,,"Invalid thread access",1338225196226
error,log,,,"Invalid thread access",1338225196227
error,log,,,"Invalid thread access",1338225196227
error,log,,,"Invalid thread access",1338225196227
