what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337758290104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337758591350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337759655094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337759657138
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337765555308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337765565340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337765567496
opened,view,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef.ui.palette_view",1337765568043
activated,perspective,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.perspective",1337765568107
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1337765568131
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1337765568131
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1337765572858
activated,view,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef.ui.palette_view",1337765575175
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1337765577900
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337765582452
activated,view,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef.ui.palette_view",1337765586913
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337765591045
activated,view,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef.ui.palette_view",1337765604328
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337765616848
activated,view,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef.ui.palette_view",1337765622283
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337765657638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337767682260
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337767699042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772560657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772562093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772620616
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772623802
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1337772635209
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1337772635211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772635941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772658783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772712803
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772719661
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772721210
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772730115
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772732773
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772735954
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772742035
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772750319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772764262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772764344
closed,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337772771683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772771952
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772772037
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772772037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772778171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772778262
closed,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1337772783035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772783181
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772783257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772783257
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772787175
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772787254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772795454
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772795547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772795547
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772800278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337772804411
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337772804483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1337772808642
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772811027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772814823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772814916
closed,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337772821385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772821621
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772821684
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772821684
closed,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337772821759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772827002
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772827077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772834488
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772834560
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772834560
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772836830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1337772841669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1337772846581
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772848684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772850569
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772850641
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772857217
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772857287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772857287
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772861574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772861642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772865686
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337772865752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337772865752
error,log,,,"An unexpected error has occurred",1337772868951
error,log,,,"Unable to create editor ID org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor: assertion failed: ",1337772868953
opened,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772869064
opened,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772869065
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337772869078
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337772869557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772869580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337772871237
