what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1337774429215
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1337774429242
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1337774489878
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1337774489916
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1337774489923
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1337774490012
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1337774490031
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1337774490433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774498541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774498722
error,log,,,"Unhandled event loop exception",1337774498877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337774538397
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1337774543575
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1337774546148
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1337774547076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337774548150
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337774550568
started,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1337774550611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774559288
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774565777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774566515
opened,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337774566706
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337774566854
opened,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774573867
activated,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774574049
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337774580866
activated,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774588742
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337774590494
closed,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774593021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774606404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337774607004
opened,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774608101
activated,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774608255
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1337774616150
closed,editor,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1337774616183
