what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010765741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338010770781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1338010772567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010792455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010802177
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338010809449
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1338010810414
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1338010810418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010842438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010846320
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1338010846416
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1338010857537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010860515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010897166
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1338010902781
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1338010906928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010914517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010914765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010918515
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.publish",1338010918633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010919996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010952147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338010969163
error,log,,,"The specified operation is not supported",1338010971020
